"SigAgente","Quantidade","Media_Total","DesvioPadrao","CV","Q1","Q3"
"CERAL ARARUAMA",944,1043.05758474576,1024.69358968512,98.2394073607048,298.35,1337.6975
"CERCI",949,1018.18684931507,988.084173003046,97.0435017568463,270.85,1334.78
"COOPERNORTE",692,949.82186416185,985.616848602758,103.768599754491,228.82,1189.075
"CERFOX",858,835.880967365967,936.151420949235,111.99578139687,294.61,982.98
"COOPERSUL",686,821.593906705539,861.786730103101,104.892054708479,270.14,1037.25
"CERES",1362,765.661446402349,881.029035021022,115.067702463113,133.53,1025.47
"CELETRO",666,743.847732732733,622.083224512576,83.6304524619816,331.54,990.335
"CERVAM",848,640.939681603774,577.716804717627,90.1359084636563,304.04,809.52
"CERCOS",1454,639.321375515818,675.276480154202,105.623948457749,133.5825,858.93
"CERNHE",1452,621.443078512397,684.72716553782,110.183408459052,160.525,841.51
"CEDRI",1512,614.661507936508,642.293200674068,104.495432425942,146.5425,812.5975
"CEREJ",1580,598.987164556962,746.362539777479,124.604095703707,126.46,783.71
"COOPERZEM",854,582.963255269321,482.084851995968,82.6955811774538,289.2375,774.29
"CERTREL",1468,582.383153950954,670.50470041753,115.131197712151,145.35,777.6275
"CERAL ANITÁPOLIS",1471,569.897620666213,660.812153849966,115.95278342757,141.13,769.12
"CERSAD DISTRIBUIDORA",844,556.890497630332,489.200398695157,87.8449894147578,256.345,718.2
"CEPRAG",1302,555.849823348694,581.23881903655,104.567599848265,161.82,726.58
"CERIS",1509,547.070881378396,582.533316352659,106.482237710205,145.38,752.19
"CERPALO",1568,546.327480867347,626.474985635826,114.670231239556,128.31,705.72
"CETRIL",1524,541.103484251969,531.848028041452,98.2895219713266,156.05,753.92
"CRERAL",1453,531.948919476944,542.855431053974,102.050293022073,146.49,745.39
"CEDRAP",1513,528.459986781229,585.670838817339,110.825957209092,101.11,731.39
"CERGRAL",1572,497.361952926209,560.35171157985,112.664772261538,127.37,642.65
"CERMISSÕES",1551,496.268484848485,458.092473985498,92.3073876281622,178.31,696.31
"CERGAL",1576,491.153274111675,532.390816615672,108.396063851673,129.51,639.3575
"CEJAMA",1572,490.394745547074,528.95258246534,107.862612164666,129.64,638.08
"CERMOFUL",1445,490.144885813149,524.905243816656,107.091853655851,137.47,638.96
"CERTHIL",877,489.224161915621,438.692092659529,89.6709784205613,177.33,666.83
"CRELUZ-D",1503,488.493013972056,486.70985574617,99.6349675072347,85.58,689.125
"CERIPA",1460,485.876280821918,527.169793763403,108.498771101078,100.71,659.3575
"CERIM",1508,481.464376657825,471.571211249062,97.9451926480132,106.285,672.31
"COORSEL",1576,475.705139593909,505.980948571248,106.364406531993,119.61,640.21
"CERTAJA",1470,467.531326530612,503.286626010443,107.647679941611,111.3625,607.77
"CERGAPA",1474,459.212998643148,452.634586624713,98.5674595366698,148.4825,607.02
"CERMC",1306,453.370758039816,400.451886973709,88.3276832200414,133.46,657.21
"CERPRO",1306,451.589012251149,450.043406119274,99.6577405362079,113.08,618.3875
"CERRP",1560,447.907891025641,448.105827558434,100.044191347542,99.1925,638.12
"CEMIRIM",856,445.085210280374,319.062728226882,71.6857628286265,272.0325,604.09
"Ceraçá",1572,436.980477099237,490.301815809753,112.202224471096,109.6,559.315
"ELFSM",1803,434.207115917915,390.638421068194,89.9659187395822,156.645,593.39
"UHENPAL",1752,431.357465753425,412.487780566671,95.6255109312191,74.445,573.79
"Equatorial PA",3713,427.137573390789,611.350829877208,143.12738282986,26.02,565.31
"PACTO ENERGIA PR",1809,413.959358761747,361.815643503846,87.4036631485091,119.16,582.91
